ticker,error
XRP-USD,No data available for XRP-USD
BNB-USD,No data available for BNB-USD
ADA-USD,No data available for ADA-USD
BTC-USD,No data available for BTC-USD
ETH-USD,No data available for ETH-USD
MATIC-USD,No data available for MATIC-USD
DOT-USD,No data available for DOT-USD
AVAX-USD,No data available for AVAX-USD
TRX-USD,No data available for TRX-USD
LINK-USD,No data available for LINK-USD
XLM-USD,No data available for XLM-USD
ATOM-USD,No data available for ATOM-USD
ETC-USD,No data available for ETC-USD
FIL-USD,No data available for FIL-USD
HBAR-USD,No data available for HBAR-USD
ICP-USD,No data available for ICP-USD
APT-USD,No data available for APT-USD
VET-USD,No data available for VET-USD
NEAR-USD,No data available for NEAR-USD
MKR-USD,No data available for MKR-USD
QNT-USD,No data available for QNT-USD
AAVE-USD,No data available for AAVE-USD
ALGO-USD,No data available for ALGO-USD
THETA-USD,No data available for THETA-USD
LTC-USD,No data available for LTC-USD
SOL-USD,No data available for SOL-USD
DOGE-USD,No data available for DOGE-USD
AXS-USD,No data available for AXS-USD
SAND-USD,No data available for SAND-USD
XTZ-USD,No data available for XTZ-USD
ENJ-USD,No data available for ENJ-USD
CHZ-USD,No data available for CHZ-USD
ZIL-USD,No data available for ZIL-USD
GRT-USD,No data available for GRT-USD
CAKE-USD,No data available for CAKE-USD
CRV-USD,No data available for CRV-USD
KSM-USD,No data available for KSM-USD
GALA-USD,No data available for GALA-USD
BAT-USD,No data available for BAT-USD
ONE-USD,No data available for ONE-USD
CELO-USD,No data available for CELO-USD
ZRX-USD,No data available for ZRX-USD
OMG-USD,No data available for OMG-USD
UNI-USD,No data available for UNI-USD
REN-USD,No data available for REN-USD
MANA-USD,No data available for MANA-USD
COMP-USD,No data available for COMP-USD
LRC-USD,No data available for LRC-USD
STORJ-USD,No data available for STORJ-USD
SKL-USD,No data available for SKL-USD
